character,round,image_number,frame_id,pose_index,action,output_file,source_sha256,crop_source,crop_x,crop_y,crop_w,crop_h,output_sha256,source_replaced,manual_applied
Oh fuxking 天婦羅尬哩涼,ROUND_1,2,23,3,後走,Oh fuxking 天婦羅尬哩涼/ROUND_1/03_後走/23.webp,b3b22454c1134f333b2756c634b5d4d6123d35b72e885e1f501c5f33be4eb5bf,detected_or_manifest,540,9,210,244,d075c55c0e7b69cad88d2f01098888207c1180c47009ce65944baee4a8ee1a05,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,2,26,6,跳躍,Oh fuxking 天婦羅尬哩涼/ROUND_1/05_跳躍/26.webp,b3b22454c1134f333b2756c634b5d4d6123d35b72e885e1f501c5f33be4eb5bf,manual,519,264,203,217,9820c9966550d4ee96abfa583d4de1c51942e5d2ed798f61c2f87912bcce1466,False,True
Oh fuxking 天婦羅尬哩涼,ROUND_1,2,29,9,落地,Oh fuxking 天婦羅尬哩涼/ROUND_1/06_落地/29.webp,b3b22454c1134f333b2756c634b5d4d6123d35b72e885e1f501c5f33be4eb5bf,detected_or_manifest,515,510,232,228,6ae91103da3db7cfd6feb785908a149efd3b0aa3c2f1163d2bc9d86f7450c4ae,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,3,31,1,輕攻「企鵝啄啄」,Oh fuxking 天婦羅尬哩涼/ROUND_1/07_輕攻「企鵝啄啄」/31.webp,af2a6ba8b21c93464c7226799f891253adade47884269caa48a7e40cf1bafc0a,detected_or_manifest,52,11,188,239,0290a036337f15b5cd25262e2a6c79f25b26185ded70df2b56002b706aa419d1,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,3,33,3,輕攻「企鵝啄啄」,Oh fuxking 天婦羅尬哩涼/ROUND_1/07_輕攻「企鵝啄啄」/33.webp,af2a6ba8b21c93464c7226799f891253adade47884269caa48a7e40cf1bafc0a,detected_or_manifest,527,53,226,196,2a08921df81d38be6cba9f0e1f399058bb78fb83b954920e8d08df43aceab8f3,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,3,36,6,輕攻「企鵝啄啄」,Oh fuxking 天婦羅尬哩涼/ROUND_1/07_輕攻「企鵝啄啄」/36.webp,af2a6ba8b21c93464c7226799f891253adade47884269caa48a7e40cf1bafc0a,detected_or_manifest,543,261,205,224,9be8e513f1b1a8bcfef152c055f3d3876bdaf1f7dd3ee3e634a704814c394bd5,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,4,41,1,重攻「天婦羅鐵頭功」,Oh fuxking 天婦羅尬哩涼/ROUND_1/08_重攻「天婦羅鐵頭功」/41.webp,0a53543cc421454495b9a63a1d1e79cc52389b7b318638d7017dc56aa7ae2b83,detected_or_manifest,20,11,236,223,24b064e125e5e19f4e7ab334e749388698bb9f1da563c82925885821d4a08b96,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,4,43,3,重攻「天婦羅鐵頭功」,Oh fuxking 天婦羅尬哩涼/ROUND_1/08_重攻「天婦羅鐵頭功」/43.webp,0a53543cc421454495b9a63a1d1e79cc52389b7b318638d7017dc56aa7ae2b83,detected_or_manifest,531,23,224,212,1c518b69d45b08a0969884d8f7c898ab89dd9792ad2515db6c1f82618ae65b05,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,5,51,1,下段「冰面肚皮滑行」,Oh fuxking 天婦羅尬哩涼/ROUND_1/09_下段「冰面肚皮滑行」/51.webp,29b04849021d1183a6cdb393bb85449c45e1c0cf5e83953d9c648a6db962e0da,detected_or_manifest,23,48,235,207,9c7038e6855419f7f7b2916ad6fdf700586f553c6c4ccefb056e638fa94f5aa3,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,5,52,2,下段「冰面肚皮滑行」,Oh fuxking 天婦羅尬哩涼/ROUND_1/09_下段「冰面肚皮滑行」/52.webp,29b04849021d1183a6cdb393bb85449c45e1c0cf5e83953d9c648a6db962e0da,manual,258,120,234,131,eb232efacc35827879ef2f9e087072648f56f2af05ce56d87290fea9bc463229,False,True
Oh fuxking 天婦羅尬哩涼,ROUND_1,5,53,3,下段「冰面肚皮滑行」,Oh fuxking 天婦羅尬哩涼/ROUND_1/09_下段「冰面肚皮滑行」/53.webp,29b04849021d1183a6cdb393bb85449c45e1c0cf5e83953d9c648a6db962e0da,detected_or_manifest,526,121,235,129,690bab46b2a872dc5f32819d7df7ea46bcbb9d0baca6d6aea34f44c996fcc432,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,6,61,1,空中攻擊「企鵝炸彈」,Oh fuxking 天婦羅尬哩涼/ROUND_1/10_空中攻擊「企鵝炸彈」/61.webp,7e8bd3751583821183a606a5fc60456b8c43f493dc349e03f50d54566edcbeb2,detected_or_manifest,11,15,207,233,d0ddea0d6a75e0226aafd19ad5304228f4a67358dffc69b71e453d41d80df9ad,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,7,74,4,蹲防,Oh fuxking 天婦羅尬哩涼/ROUND_1/14_蹲防/74.webp,ec0bb039d87b22d2c6e5cda945d13baca866fc224aa27f0d16771cf4ece33ef4,detected_or_manifest,22,271,218,212,50ec9e81b49d5307770f3104fc1ecf775b72124cb489437efa47853472bce5e6,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,81,1,上段受擊,Oh fuxking 天婦羅尬哩涼/ROUND_1/17_上段受擊/81.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,0,0,267,254,65c9ccf819a6552b7a8805aeec2bee67ac89ed4b67cb6cbf5f1f2780a737172d,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,82,2,中段受擊,Oh fuxking 天婦羅尬哩涼/ROUND_1/18_中段受擊/82.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,267,0,254,254,535311e7496f9ab6f6bafe72c607687365794591723baa5fb8a6218245e53a0e,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,83,3,下段受擊,Oh fuxking 天婦羅尬哩涼/ROUND_1/19_下段受擊/83.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,521,0,247,254,4dc158c8819a749657388c7cdd8bda89e1a2b5e8dcfb9cbd87f28a5630478826,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,84,4,Heavy Reel,Oh fuxking 天婦羅尬哩涼/ROUND_1/20_Heavy_Reel/84.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,0,254,267,258,736626f6a5822462c07b5c87dcfb4394e658b0a5445ab6acbc13a6670866eba5,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,85,5,Counter Hit Reel,Oh fuxking 天婦羅尬哩涼/ROUND_1/21_Counter_Hit_Reel/85.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,267,254,254,258,f6fadd92381f10f533e198b6a82250e0ada56d86a816fdd150fd4645880ca95e,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,8,86,6,恢復,Oh fuxking 天婦羅尬哩涼/ROUND_1/22_恢復/86.webp,5e8c8f16f05b58a6a3406ebaa6c251f3250863b1e56b0725176b2df37ef2b727,detected_or_manifest,521,254,247,258,b3e4ef00d6aff5f45e932e71394d8e43812be47b6dec8251add02c50a668e23f,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,9,93,3,前衝,Oh fuxking 天婦羅尬哩涼/ROUND_1/23_前衝/93.webp,83c1484181745ae8a8dd360b83e7f40ce545d1cfb6461ec1814d7c88a3a1e432,detected_or_manifest,550,15,202,214,a93f28354c25b8d2cb5091977be851b604dbef5afdc3ad4a199deddb174ec362,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,9,94,4,後撤,Oh fuxking 天婦羅尬哩涼/ROUND_1/24_後撤/94.webp,83c1484181745ae8a8dd360b83e7f40ce545d1cfb6461ec1814d7c88a3a1e432,detected_or_manifest,32,263,221,231,f70bb93c5c1169b73a1e7fc9350924f16bfb14d7eaa93d2675dbc201f32ad203,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,9,95,5,後撤,Oh fuxking 天婦羅尬哩涼/ROUND_1/24_後撤/95.webp,83c1484181745ae8a8dd360b83e7f40ce545d1cfb6461ec1814d7c88a3a1e432,manual,259,237,215,252,4c7e703ca4d95fc9a09b3416e77784aa0616337bf2bbe0e0a4e4ebd1c56c16d3,False,True
Oh fuxking 天婦羅尬哩涼,ROUND_1,9,96,6,後撤,Oh fuxking 天婦羅尬哩涼/ROUND_1/24_後撤/96.webp,83c1484181745ae8a8dd360b83e7f40ce545d1cfb6461ec1814d7c88a3a1e432,manual,538,261,209,214,ea731d140cd57a4d3c30796c962734773f3c11cf2131481020f8d5f2514c1b00,False,True
