character,round,action_folder,frame_ids,frame_count
Doge,ROUND_1,10_Air_Body_Splash,61.webp;62.webp;63.webp;64.webp;65.webp;66.webp,6
Doge,ROUND_1,11_Guard_Standing,71.webp;72.webp;73.webp,3
Doge,ROUND_1,12_Guard_Crouching,74.webp;75.webp;76.webp,3
Doge,ROUND_1,13_Hitstun,81.webp;82.webp;83.webp;84.webp;85.webp;86.webp,6
Doge,ROUND_1,14_Dash_Forward,91.webp;92.webp;93.webp,3
Doge,ROUND_1,15_Backstep,94.webp;95.webp;96.webp,3
Doge,ROUND_2,01_Throw_Come_Here,11.webp;12.webp;13.webp;14.webp;15.webp;16.webp,6
Doge,ROUND_2,02_Thrown_Knockdown_Getup_KO,21.webp;22.webp;23.webp;24.webp;25.webp;26.webp;27.webp;28.webp;29.webp,9
Doge,ROUND_2,03_Special_Muscle_Rush,31.webp;32.webp;33.webp;34.webp;35.webp;36.webp,6
Doge,ROUND_2,04_Special_Armor_VFX,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp;47.webp;48.webp;49.webp,9
Doge,ROUND_2,05_Ultimate_Super_Doge_Transformation,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
Doge,ROUND_2,06_Super_Idle,61.webp,1
Doge,ROUND_2,07_Super_Walk_Forward,62.webp,1
Doge,ROUND_2,08_Super_Walk_Backward,63.webp,1
Doge,ROUND_2,09_Super_Dash_Forward,64.webp,1
Doge,ROUND_2,10_Super_Backstep,65.webp,1
Doge,ROUND_2,11_Super_Crouch,66.webp,1
Doge,ROUND_2,12_Super_Jump,67.webp,1
Doge,ROUND_2,13_Super_Landing,68.webp,1
Doge,ROUND_2,14_Super_Hitstun,69.webp,1
Doge,ROUND_2,15_Super_Light,71.webp;72.webp;73.webp,3
Doge,ROUND_2,16_Super_Heavy,74.webp;75.webp;76.webp;77.webp;78.webp,5
Doge,ROUND_2,17_Super_Low,79.webp,1
Doge,ROUND_2,18_Super_Guard_Standing,81.webp;82.webp,2
Doge,ROUND_2,19_Super_Guard_Crouching,83.webp,1
Doge,ROUND_2,20_Super_Air_Attack,84.webp;85.webp;86.webp,3
Doge,ROUND_2,21_Super_Throw,87.webp;88.webp;89.webp,3
Doge,ROUND_2,22_Super_Special_Muscle_Rush,91.webp;92.webp;93.webp;94.webp;95.webp;96.webp;97.webp,7
Doge,ROUND_2,23_Super_Install_Aura,98.webp,1
Doge,ROUND_2,24_Super_Heavy_Armor_Overlay,99.webp,1
OK喵老大,ROUND_1,01_待機,11.webp;12.webp;13.webp,3
OK喵老大,ROUND_1,02_前走,14.webp;15.webp;16.webp,3
OK喵老大,ROUND_1,03_後走,17.webp;18.webp;19.webp,3
OK喵老大,ROUND_1,04_蹲下,21.webp,1
OK喵老大,ROUND_1,05_跳躍,22.webp;23.webp;24.webp;25.webp,4
OK喵老大,ROUND_1,06_落地,26.webp,1
OK喵老大,ROUND_1,07_前衝,31.webp;32.webp;33.webp,3
OK喵老大,ROUND_1,08_後撤,34.webp;35.webp;36.webp,3
OK喵老大,ROUND_1,09_輕攻「OK_指示」,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp,6
OK喵老大,ROUND_1,10_重攻「老大上勾」,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
OK喵老大,ROUND_1,11_下段「這個不OK」,61.webp;62.webp;63.webp;64.webp;65.webp;66.webp,6
OK喵老大,ROUND_1,12_空中攻擊「老大巡場」,71.webp;72.webp;73.webp;74.webp;75.webp;76.webp,6
OK喵老大,ROUND_1,13_站防,81.webp,1
OK喵老大,ROUND_1,14_站防硬直,82.webp,1
OK喵老大,ROUND_1,15_站防恢復,83.webp,1
OK喵老大,ROUND_1,16_蹲防,84.webp,1
OK喵老大,ROUND_1,17_蹲防硬直,85.webp,1
OK喵老大,ROUND_1,18_蹲防恢復,86.webp,1
OK喵老大,ROUND_1,19_上段受擊,87.webp,1
OK喵老大,ROUND_1,20_中段受擊,88.webp,1
OK喵老大,ROUND_1,21_下段受擊,89.webp,1
OK喵老大,ROUND_2,01_前衝,11.webp;12.webp;13.webp,3
OK喵老大,ROUND_2,02_後撤,14.webp;15.webp;16.webp,3
OK喵老大,ROUND_2,03_投技「過來談一下」,21.webp;22.webp;23.webp;24.webp;25.webp;26.webp,6
OK喵老大,ROUND_2,04_上段受擊,31.webp,1
OK喵老大,ROUND_2,05_下段受擊,32.webp,1
OK喵老大,ROUND_2,06_Heavy_Counter_Hit_大後仰,33.webp,1
OK喵老大,ROUND_2,07_被摔空中,34.webp,1
OK喵老大,ROUND_2,08_倒地撞擊,35.webp,1
OK喵老大,ROUND_2,09_倒地_Hold,36.webp,1
OK喵老大,ROUND_2,10_起身前段,37.webp,1
OK喵老大,ROUND_2,11_起身後段,38.webp,1
OK喵老大,ROUND_2,12_KO,39.webp,1
OK喵老大,ROUND_2,13_開始蓄力,41.webp,1
OK喵老大,ROUND_2,14_蓄力維持,42.webp,1
OK喵老大,ROUND_2,15_最大蓄力,43.webp,1
OK喵老大,ROUND_2,16_放招準備,44.webp,1
OK喵老大,ROUND_2,17_判決波發射,45.webp,1
OK喵老大,ROUND_2,18_後座_收招,46.webp,1
OK喵老大,ROUND_2,19_判決波蓄力核心,51.webp,1
OK喵老大,ROUND_2,20_Lv1「OK」,52.webp;53.webp,2
OK喵老大,ROUND_2,21_Lv2「你確定？」,54.webp;55.webp;56.webp,3
OK喵老大,ROUND_2,22_Lv3「這不OK」,57.webp;58.webp;59.webp,3
OK喵老大,ROUND_2,23_Capture_Ultimate_發動,61.webp,1
OK喵老大,ROUND_2,24_向前抓取判定,62.webp,1
OK喵老大,ROUND_2,25_抓空_Whiff,63.webp,1
OK喵老大,ROUND_2,26_超大破綻收招,64.webp,1
OK喵老大,ROUND_2,27_成功抓到_老大確認,65.webp,1
OK喵老大,ROUND_2,28_老大慢慢走向對手,66.webp,1
OK喵老大,ROUND_2,29_拿出重機槍,67.webp,1
OK喵老大,ROUND_2,30_持續機槍掃射,68.webp,1
OK喵老大,ROUND_2,31_最後重火力爆發_後座,69.webp,1
OK喵老大,ROUND_2,32_小弟_A_衝入準備,71.webp,1
OK喵老大,ROUND_2,33_高速衝入,72.webp,1
OK喵老大,ROUND_2,34_抓上半身,73.webp,1
OK喵老大,ROUND_2,35_鎖住上半身,74.webp,1
OK喵老大,ROUND_2,36_持續壓制,75.webp,1
OK喵老大,ROUND_2,37_放開_退場,76.webp,1
OK喵老大,ROUND_2,38_小弟_B_衝入,81.webp,1
OK喵老大,ROUND_2,39_低位攔截衝刺,82.webp,1
OK喵老大,ROUND_2,40_抓下半身,83.webp,1
OK喵老大,ROUND_2,41_雙掌固定,84.webp,1
OK喵老大,ROUND_2,42_持續壓住下半身,85.webp,1
OK喵老大,ROUND_2,43_放開_退場,86.webp,1
OK喵老大,ROUND_2,44_重機槍本體素材,91.webp,1
OK喵老大,ROUND_2,45_槍口火光,92.webp,1
OK喵老大,ROUND_2,46_持續掃射槍口火焰,93.webp,1
OK喵老大,ROUND_2,47_子彈曳光群,94.webp,1
OK喵老大,ROUND_2,48_密集自動射擊彈道,95.webp,1
OK喵老大,ROUND_2,49_子彈命中火花,96.webp,1
OK喵老大,ROUND_2,50_持續命中煙霧_火花,97.webp,1
OK喵老大,ROUND_2,51_處決階段大型命中爆發,98.webp,1
OK喵老大,ROUND_2,52_FINAL_LAUNCH_IMPACT,99.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,01_待機,11.webp;12.webp;13.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_1,02_前走,14.webp;15.webp;16.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_1,03_後走,21.webp;22.webp;23.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_1,04_蹲下,24.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,05_跳躍,25.webp;26.webp;27.webp;28.webp,4
Oh fuxking 天婦羅尬哩涼,ROUND_1,06_落地,29.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,07_輕攻「企鵝啄啄」,31.webp;32.webp;33.webp;34.webp;35.webp;36.webp,6
Oh fuxking 天婦羅尬哩涼,ROUND_1,08_重攻「天婦羅鐵頭功」,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp,6
Oh fuxking 天婦羅尬哩涼,ROUND_1,09_下段「冰面肚皮滑行」,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
Oh fuxking 天婦羅尬哩涼,ROUND_1,10_空中攻擊「企鵝炸彈」,61.webp;62.webp;63.webp;64.webp;65.webp;66.webp,6
Oh fuxking 天婦羅尬哩涼,ROUND_1,11_站防,71.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,12_站防_Impact,72.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,13_站防硬直,73.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,14_蹲防,74.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,15_蹲防_Impact,75.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,16_蹲防硬直,76.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,17_上段受擊,81.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,18_中段受擊,82.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,19_下段受擊,83.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,20_Heavy_Reel,84.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,21_Counter_Hit_Reel,85.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,22_恢復,86.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_1,23_前衝,91.webp;92.webp;93.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_1,24_後撤,94.webp;95.webp;96.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_2,01_投技「一起摔啦！」,11.webp;12.webp;13.webp;14.webp;15.webp;16.webp,6
Oh fuxking 天婦羅尬哩涼,ROUND_2,02_強擊起飛,21.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,03_被摔空中,22.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,04_下墜,23.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,05_Knockdown_Impact,24.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,06_Knockdown_Hold,25.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,07_Soft_KD_Recovery,26.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,08_起身前段,27.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,09_起身後段,28.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,10_KO,29.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,11_Charge_Start,31.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,12_Charge_Loop,32.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,13_Maximum_Charge,33.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,14_短衝_Release,34.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,15_Full_Rush_Push_Through,35.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,16_煞停_Recovery,36.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,17_Lv1「小隊出發」,41.webp;42.webp;43.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_2,18_Lv2「全速前進」,44.webp;45.webp;46.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_2,19_Lv3「企鵝不要停！」,47.webp;48.webp;49.webp,3
Oh fuxking 天婦羅尬哩涼,ROUND_2,20_Ultimate_啟動,51.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,21_召喚蓄勢,52.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,22_大聲召喚,53.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,23_指揮企鵝群往前,54.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,24_快速_Recovery,55.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,25_玩家恢復正常操作,56.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,26_Minion_1_Deadpan,61.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,27_Minion_1,62.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,28_Minion_1,63.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,29_Minion_2_Angry,64.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,30_Minion_2,65.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,31_Minion_2,66.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,32_Minion_3_Nervous,67.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,33_Minion_3,68.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,34_Minion_3,69.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,35_Minion_4_Smug,71.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,36_Body_Check,72.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,37_Hit_Defeat,73.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,38_Minion_5_Excited,74.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,39_Body_Check,75.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,40_Hit_Defeat,76.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,41_Minion_6_Confused,77.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,42_Body_Check,78.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,43_Hit_Defeat,79.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,44_Minion_7_Sleepy,81.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,45_Body_Check,82.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,46_Hit_Defeat,83.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,47_Minion_8_Shocked,84.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,48_Body_Check,85.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,49_Hit_Defeat,86.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,50_Minion_9_Determined,87.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,51_Body_Check,88.webp,1
Oh fuxking 天婦羅尬哩涼,ROUND_2,52_Hit_Defeat,89.webp,1
YA鼠,ROUND_1,01_待機_緊張_看手機,11.webp;12.webp;13.webp,3
YA鼠,ROUND_1,02_前走,14.webp;15.webp;16.webp,3
YA鼠,ROUND_1,03_後走,21.webp;22.webp;23.webp,3
YA鼠,ROUND_1,04_蹲下,24.webp,1
YA鼠,ROUND_1,05_跳躍,25.webp;26.webp;27.webp;28.webp,4
YA鼠,ROUND_1,06_落地,29.webp,1
YA鼠,ROUND_1,07_輕攻「那個...不好意思」,31.webp;32.webp;33.webp;34.webp;35.webp;36.webp,6
YA鼠,ROUND_1,08_重攻「不好意思借過！」,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp,6
YA鼠,ROUND_1,09_下段「假裝綁鞋帶」,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
YA鼠,ROUND_1,10_空中攻擊「我只是想跳過去！」,61.webp;62.webp;63.webp;64.webp;65.webp;66.webp,6
YA鼠,ROUND_1,11_站防,71.webp,1
YA鼠,ROUND_1,12_站防_Impact,72.webp,1
YA鼠,ROUND_1,13_站防硬直,73.webp,1
YA鼠,ROUND_1,14_蹲防,74.webp,1
YA鼠,ROUND_1,15_蹲防_Impact,75.webp,1
YA鼠,ROUND_1,16_蹲防硬直,76.webp,1
YA鼠,ROUND_1,17_上段受擊,81.webp,1
YA鼠,ROUND_1,18_中段受擊,82.webp,1
YA鼠,ROUND_1,19_下段受擊,83.webp,1
YA鼠,ROUND_1,20_Heavy_Reel,84.webp,1
YA鼠,ROUND_1,21_Counter_Hit_Panic,85.webp,1
YA鼠,ROUND_1,22_恢復_扶正眼鏡,86.webp,1
YA鼠,ROUND_1,23_標準圓眼鏡,91.webp,1
YA鼠,ROUND_1,24_歪掉的眼鏡,92.webp,1
YA鼠,ROUND_1,25_手機正面,93.webp,1
YA鼠,ROUND_1,26_手機相機面,94.webp,1
YA鼠,ROUND_1,27_汗滴素材,95.webp,1
YA鼠,ROUND_1,28_緊張抖動素材,96.webp,1
YA鼠,ROUND_2,01_前衝,11.webp;12.webp;13.webp,3
YA鼠,ROUND_2,02_後撤,14.webp;15.webp;16.webp,3
YA鼠,ROUND_2,03_投技「你離我太近了！」,21.webp;22.webp;23.webp;24.webp;25.webp;26.webp,6
YA鼠,ROUND_2,04_強擊失衡,31.webp,1
YA鼠,ROUND_2,05_被摔空中,32.webp,1
YA鼠,ROUND_2,06_下墜,33.webp,1
YA鼠,ROUND_2,07_Knockdown_Impact,34.webp,1
YA鼠,ROUND_2,08_Knockdown_Hold,35.webp,1
YA鼠,ROUND_2,09_翻身恢復,36.webp,1
YA鼠,ROUND_2,10_起身前段,37.webp,1
YA鼠,ROUND_2,11_起身後段_扶眼鏡,38.webp,1
YA鼠,ROUND_2,12_KO,39.webp,1
YA鼠,ROUND_2,13_Charge_Start,41.webp,1
YA鼠,ROUND_2,14_Charge_Loop,42.webp,1
YA鼠,ROUND_2,15_Maximum_Charge,43.webp,1
YA鼠,ROUND_2,16_Release_Anticipation,44.webp,1
YA鼠,ROUND_2,17_招呼波_Release,45.webp,1
YA鼠,ROUND_2,18_尷尬後退恢復,46.webp,1
YA鼠,ROUND_2,19_短距離尷尬波,51.webp,1
YA鼠,ROUND_2,20_命中_Slow_Ripple,52.webp,1
YA鼠,ROUND_2,21_Movement_Delay_Module,53.webp,1
YA鼠,ROUND_2,22_Lv2_Zone_Core,54.webp,1
YA鼠,ROUND_2,23_Persistent_Social-Pressure_Zone,55.webp,1
YA鼠,ROUND_2,24_Lv2_Slow_Overlay,56.webp,1
YA鼠,ROUND_2,25_Large_Social-Death_Zone,57.webp,1
YA鼠,ROUND_2,26_Zone_Interior_Distortion,58.webp,1
YA鼠,ROUND_2,27_Strong_Movement-Hesitation_Overlay,59.webp,1
YA鼠,ROUND_2,28_偷偷拿手機,61.webp,1
YA鼠,ROUND_2,29_手機相機準備,62.webp,1
YA鼠,ROUND_2,30_CAMERA_FLASH_ACTIVE,63.webp,1
YA鼠,ROUND_2,31_Flash_命中確認,64.webp,1
YA鼠,ROUND_2,32_Block_Whiff_Failure,65.webp,1
YA鼠,ROUND_2,33_Catastrophic_Recovery,66.webp,1
YA鼠,ROUND_2,34_Camera_Flash_Core,71.webp,1
YA鼠,ROUND_2,35_前方_Camera_Flash_Cone,72.webp,1
YA鼠,ROUND_2,36_Flash_Hit_Freeze,73.webp,1
YA鼠,ROUND_2,37_拍立得照片框,74.webp,1
YA鼠,ROUND_2,38_Photographization_Overlay,75.webp,1
YA鼠,ROUND_2,39_巨型「社死大頭貼」框,76.webp,1
YA鼠,ROUND_2,40_Embarrassment_Pressure_Burst,77.webp,1
YA鼠,ROUND_2,41_Photo_Shake_Cringe,78.webp,1
YA鼠,ROUND_2,42_照片開始產生撕裂裂痕,79.webp,1
YA鼠,ROUND_2,43_上半張撕裂照片,81.webp,1
YA鼠,ROUND_2,44_下半張撕裂照片,82.webp,1
YA鼠,ROUND_2,45_左側碎片,83.webp,1
YA鼠,ROUND_2,46_右側碎片,84.webp,1
YA鼠,ROUND_2,47_中央撕裂爆發,85.webp,1
YA鼠,ROUND_2,48_多碎片照片爆裂,86.webp,1
YA鼠,ROUND_2,49_Social-Death_Impact,87.webp,1
YA鼠,ROUND_2,50_Hard_Knockdown_Finish,88.webp,1
YA鼠,ROUND_2,51_照片碎片消散,89.webp,1
哥布林也想談戀愛,ROUND_1,01_待機_害羞_緊張準備,11.webp;12.webp;13.webp,3
哥布林也想談戀愛,ROUND_1,02_前走,14.webp;15.webp;16.webp,3
哥布林也想談戀愛,ROUND_1,03_後走,17.webp;18.webp;19.webp,3
哥布林也想談戀愛,ROUND_1,04_蹲下,21.webp,1
哥布林也想談戀愛,ROUND_1,05_跳躍,22.webp;23.webp,2
哥布林也想談戀愛,ROUND_1,06_落地,24.webp,1
哥布林也想談戀愛,ROUND_1,07_前衝,25.webp;26.webp,2
哥布林也想談戀愛,ROUND_1,08_後撤,27.webp;28.webp;29.webp,3
哥布林也想談戀愛,ROUND_1,09_站防,31.webp,1
哥布林也想談戀愛,ROUND_1,10_站防_Impact,32.webp,1
哥布林也想談戀愛,ROUND_1,11_站防硬直,33.webp,1
哥布林也想談戀愛,ROUND_1,12_蹲防,34.webp,1
哥布林也想談戀愛,ROUND_1,13_蹲防_Impact,35.webp,1
哥布林也想談戀愛,ROUND_1,14_蹲防硬直,36.webp,1
哥布林也想談戀愛,ROUND_1,15_Light_Hitstun,37.webp,1
